model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted_ovr,high_precision,high_recall,high_f1,param_C,param_class_weight,param_solver,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,log2,4.0,2.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,log2,4.0,4.0,200.0
random_forest,0.8809849521203831,0.8816445802524827,0.8809849521203831,0.8805778375281114,0.880919527665208,0.9684254567439411,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,20.0,log2,4.0,8.0,200.0
random_forest,0.8809849521203831,0.8812716868938071,0.8809849521203831,0.880764047758145,0.8808772895640059,0.970113966744858,0.8393782383419689,0.8901098901098901,0.864,,balanced,,,log2,1.0,4.0,200.0
random_forest,0.8809849521203831,0.8812716868938071,0.8809849521203831,0.880764047758145,0.8808772895640059,0.9701139667448577,0.8393782383419689,0.8901098901098901,0.864,,balanced,,,sqrt,1.0,4.0,200.0
random_forest,0.8809849521203831,0.8813996211804774,0.8809849521203831,0.8806147187805708,0.8808588415593853,0.9702113013038831,0.8358974358974359,0.8956043956043956,0.8647214854111406,,balanced,,10.0,sqrt,1.0,4.0,400.0
random_forest,0.8809849521203831,0.8813996211804774,0.8809849521203831,0.8806147187805708,0.8808588415593853,0.9702113013038831,0.8358974358974359,0.8956043956043956,0.8647214854111406,,balanced,,10.0,log2,1.0,4.0,400.0
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9698764097415775,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,sqrt,2.0,2.0,200.0
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9698764097415775,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,sqrt,2.0,4.0,200.0
random_forest,0.8809849521203831,0.8816253196438486,0.8809849521203831,0.8804567762043177,0.8808322071472051,0.9698764097415775,0.8324873096446701,0.9010989010989011,0.8654353562005277,,balanced,,,log2,2.0,2.0,200.0
